Timestamp(us), ax, ay, az, gx, gy, gz, mx, my, mz,period
3538475189,1921,-2787,-17233,-109,-56,-564,47,350,-1400,0
3538495178,1088,-2330,-16987,-313,-206,-558,59,356,-1411,0
3538515167,372,-1159,-17093,-490,-430,-517,83,356,-1400,0
3538535156,-280,-1135,-16983,-438,-479,-503,83,326,-1350,0
3538555145,-102,-1226,-15676,-205,-459,-653,89,326,-1375,0
3538575134,112,-1216,-14809,-207,-481,-740,95,338,-1363,0
3538595123,-180,-832,-14755,-399,-599,-730,100,338,-1363,0
3538615112,-428,-183,-15630,-663,-695,-735,112,350,-1363,0
3538635101,-186,-409,-16249,-856,-674,-898,130,356,-1338,0
3538655090,-64,-332,-16733,-979,-569,-1202,136,344,-1338,0
3538675079,-429,809,-17185,-1386,-91,-1596,154,350,-1326,0
3538695068,-2759,1564,-16324,-1489,28,-1574,172,362,-1301,0
3538715057,-2699,1824,-16497,-703,-251,-1335,166,380,-1265,0
3538735046,-2097,2320,-16331,-214,-268,-1190,184,350,-1301,0
3538755035,-2121,1702,-15750,-134,-219,-1020,190,374,-1276,0
3538775024,-1471,1448,-15540,189,-278,-940,207,344,-1288,0
3538795013,220,1900,-16093,253,-274,-759,201,356,-1251,0
3538815002,-1051,-190,-15911,-165,37,-207,195,362,-1263,0
3538834991,-1900,-1867,-15184,96,12,-496,207,356,-1265,0
3538854980,-1410,-149,-14465,470,-247,-1014,213,332,-1276,0
3538874969,-1866,119,-14320,125,-535,-1094,225,332,-1288,0
3538894958,-2195,648,-15027,-253,-806,-1112,231,338,-1288,0
3538914947,-2644,-34,-15424,-276,-664,-1018,237,338,-1265,0
3538934936,-2646,-495,-15503,-26,-227,-1002,249,320,-1265,0
3538954925,-2939,-1592,-16642,104,-45,-1045,261,320,-1276,0
3538974914,-2880,-572,-15600,616,149,-1263,279,326,-1288,0
3538994903,-3235,987,-12696,854,-107,-1352,285,320,-1313,0
3539014892,-3602,1109,-12047,343,-679,-1179,290,326,-1301,0
