Timestamp(us), mx, my, mz
3018341064,-30,-981,-159
3018361053,-36,-981,-207
3018381042,-36,-1004,-207
3018401031,-30,-987,-171
3018421020,-12,-1004,-184
3018441009,-6,-1028,-207
3018460998,0,-1034,-221
3018480987,5,-1022,-184
3018500976,11,-1040,-171
3018520965,11,-1034,-196
3018540954,11,-1022,-159
3018560943,11,-1046,-196
3018580932,0,-1046,-196
3018600921,23,-1040,-134
3018620910,11,-1046,-171
3018640899,5,-1046,-196
3018660888,11,-1046,-232
3018680877,5,-1052,-282
3018700866,29,-1046,-232
3018720855,5,-1040,-282
3018740844,0,-1028,-257
3018760833,0,-1022,-294
3018780822,0,-1022,-294
3018800811,23,-1034,-307
3018820800,17,-1034,-344
3018840789,23,-1022,-355
3018860778,29,-1046,-344
3018880767,47,-1052,-344
3018900756,59,-1034,-344
3018920745,77,-1034,-355
3018940734,83,-1040,-355
3018960723,100,-1046,-392
3018980712,130,-1058,-417
3019000701,142,-1046,-392
3019020690,154,-1058,-405
3019040679,178,-1034,-442
3019060668,196,-1034,-453
3019080657,207,-1034,-478
3019100646,225,-1022,-453
3019120635,243,-1028,-515
3019140625,237,-1010,-515
3019160614,261,-998,-515
3019180603,285,-992,-503
3019200592,273,-975,-553
3019220581,291,-981,-601
3019240570,296,-981,-638
3019260559,320,-963,-638
3019280548,314,-951,-700
3019300537,332,-939,-663
3019320526,332,-909,-761
3019340515,332,-921,-761
3019360504,338,-915,-800
3019380493,374,-909,-836
3019400482,350,-897,-923
3019420471,344,-909,-909
3019440460,362,-897,-946
3019460449,368,-903,-971
3019480438,386,-909,-1009
3019500427,386,-891,-1032
3019520416,415,-909,-1046
3019540405,368,-897,-1046
3019560394,386,-891,-1057
3019580383,386,-880,-1107
3019600372,392,-886,-1082
3019620361,374,-897,-1119
3019640350,392,-909,-1119
3019660339,397,-903,-1094
3019680328,421,-897,-1144
3019700317,392,-915,-1169
3019720306,397,-909,-1094
3019740295,415,-909,-1144
3019760284,397,-921,-1107
3019780273,392,-927,-1132
3019800262,403,-909,-1132
3019820251,403,-939,-1094
3019840240,403,-939,-1046
3019860229,403,-933,-1107
3019880218,403,-969,-1057
3019900207,386,-963,-1057
3019920196,392,-963,-1057
3019940185,386,-969,-1032
3019960174,392,-981,-1032
3019980163,386,-987,-1009
3020000152,386,-969,-1009
3020020141,380,-987,-1094
3020040130,392,-963,-1094
3020060119,386,-986,-1082
3020080108,380,-969,-1094
3020100097,368,-951,-1094
3020120086,368,-921,-1169
3020140075,386,-945,-1180
3020160064,386,-945,-1230
3020180053,397,-915,-1217
3020200042,380,-915,-1278
3020220031,368,-909,-1267
3020240020,374,-897,-1303
3020260009,380,-880,-1292
3020279998,380,-880,-1353
3020299987,386,-891,-1328
3020319976,380,-891,-1365
3020339965,380,-886,-1340
3020359954,386,-891,-1328
3020379943,386,-886,-1365
3020399932,386,-897,-1378
3020419921,374,-903,-1378
3020439910,380,-903,-1353
3020459899,368,-921,-1342
3020479888,380,-915,-1328
3020499877,392,-915,-1303
3020519866,386,-903,-1278
3020539855,374,-897,-1292
3020559844,356,-927,-1255
3020579833,380,-951,-1255
3020599822,374,-921,-1230
3020619812,374,-933,-1205
3020639801,368,-921,-1242
3020659790,386,-933,-1205
3020679779,362,-939,-1194
3020699768,368,-927,-1144
3020719757,362,-945,-1180
3020739746,362,-939,-1194
3020759735,356,-951,-1205
3020779724,362,-957,-1169
3020799713,350,-945,-1169
3020819702,356,-957,-1169
3020839691,350,-957,-1180
3020859680,344,-945,-1144
3020879669,332,-957,-1144
3020899658,320,-969,-1119
3020919647,326,-969,-1119
3020939636,326,-969,-1082
3020959625,326,-992,-1094
3020979614,314,-992,-1046
3020999603,291,-992,-996
3021019592,296,-992,-959
3021039581,302,-998,-909
3021059570,302,-1022,-909
3021079559,296,-1004,-873
3021099548,291,-1022,-873
3021119537,302,-1016,-800
3021139526,279,-1016,-775
3021159515,291,-1022,-775
3021179504,261,-1016,-775
3021199493,261,-1028,-701
3021219482,261,-1028,-700
3021239471,255,-1016,-676
3021259460,255,-1016,-626
3021279449,249,-1028,-651
3021299438,243,-1046,-626
3021319427,249,-1022,-601
3021339416,249,-1022,-638
3021359405,237,-1022,-615
3021379394,243,-1040,-626
3021399383,231,-1022,-590
3021419372,225,-1022,-638
3021439361,255,-1040,-615
3021459350,255,-1016,-576
3021479339,261,-1022,-626
3021499328,249,-1010,-626
3021519317,267,-1016,-615
3021539306,249,-1034,-626
3021559295,279,-1046,-676
3021579284,267,-1022,-638
3021599273,273,-1028,-638
3021619262,255,-1028,-676
3021639251,255,-1022,-626
3021659240,279,-1028,-676
3021679229,279,-1028,-651
3021699218,291,-1022,-651
3021719207,285,-1016,-701
3021739196,285,-1010,-701
3021759185,302,-1022,-663
3021779174,291,-1010,-688
3021799163,291,-1016,-738
3021819152,285,-981,-750
3021839141,302,-1022,-725
3021859130,273,-1028,-775
3021879119,297,-1016,-738
3021899108,285,-1016,-738
3021919097,285,-1010,-725
3021939086,285,-1034,-738
3021959075,285,-1022,-775
3021979064,296,-1034,-738
3021999053,273,-1022,-738
3022019042,279,-1022,-738
3022039031,267,-1034,-738
3022059020,291,-1022,-713
3022079010,279,-1022,-725
3022098999,279,-1046,-688
3022118988,261,-1028,-725
3022138977,273,-1028,-688
3022158966,279,-1028,-676
3022178955,279,-1034,-663
3022198944,255,-1034,-663
3022218933,261,-1040,-663
3022238922,279,-1028,-688
3022258911,255,-1034,-688
3022278900,273,-1052,-663
3022298889,267,-1034,-663
3022318878,261,-1058,-676
3022338867,273,-1046,-701
3022358856,267,-1034,-713
3022378845,249,-1034,-738
3022398834,267,-1046,-701
3022418823,273,-1046,-725
3022438812,279,-1052,-725
3022458801,279,-1034,-725
3022478790,296,-1040,-750
3022498779,297,-1028,-750
3022518768,302,-1034,-800
3022538757,314,-1040,-848
3022558746,320,-1016,-934
3022578735,338,-1022,-923
3022598724,344,-1010,-1009
3022618713,326,-992,-1046
3022638702,356,-987,-1096
3022658691,374,-963,-1144
3022678680,380,-945,-1267
3022698669,380,-909,-1303
3022718658,397,-874,-1378
3022738647,386,-856,-1415
3022758636,415,-826,-1513
3022778625,427,-791,-1563
3022798614,415,-761,-1636
3022818603,421,-695,-1711
3022838592,427,-642,-1759
3022858581,421,-606,-1834
3022878570,427,-541,-1871
3022898559,409,-505,-1944
3022918548,415,-452,-1944
3022938537,415,-404,-2005
3022958526,403,-339,-2019
3022978515,397,-315,-2067
3022998504,380,-256,-2067
3023018493,380,-208,-2080
3023038482,374,-143,-2117
3023058471,374,-113,-2117
3023078460,386,-60,-2128
3023098449,362,-30,-2128
3023118438,338,11,-2128
3023138427,332,47,-2128
3023158416,314,100,-2167
3023178405,291,112,-2178
3023198394,273,172,-2117
3023218383,273,184,-2117
3023238372,255,213,-2092
3023258361,255,249,-2092
3023278350,249,255,-2103
3023298339,243,285,-2067
3023318328,231,279,-2067
3023338317,231,285,-2080
3023358306,231,308,-2080
3023378295,249,302,-2067
3023398284,243,279,-2055
3023418273,243,285,-2044
3023438262,249,285,-2080
3023458251,291,243,-2055
3023478240,273,231,-2067
3023498229,273,201,-2105
3023518218,308,172,-2080
3023538208,332,136,-2094
