Timestamp(us), ax, ay, az, gx, gy, gz
3011404876,-8821,-6750,16589,-2126,-2900,-106
3011424865,-11417,-3581,13245,-2292,-2509,99
3011444854,-12609,-4077,18311,-1444,-1115,359
3011464843,-18375,-4148,24574,61,189,387
3011484832,-13720,-149,22929,1371,1198,246
3011504821,-7375,4320,13184,1914,1500,95
3011524810,-3839,2692,8997,1507,1453,-80
3011544799,221,-1312,10085,288,872,-108
3011564788,-3,-3533,12688,-1146,-706,-127
3011584777,-4590,-3432,13628,-1967,-2076,-167
3011604766,-9904,-2544,8395,-1813,-1849,159
3011624755,-16065,-4864,18318,-727,-316,228
3011644744,-11983,-2970,25358,625,1067,-21
3011664733,-5618,290,19319,1293,1317,-252
3011684722,-2276,-106,15421,999,998,-467
3011704711,-2511,-730,12491,38,543,-411
3011724700,-5350,-2300,12069,-841,-268,-362
3011744689,-8174,-2802,9520,-1124,-780,-234
3011764678,-14500,-4436,14478,-665,-455,31
3011784667,-13309,-4076,20617,72,347,79
3011804656,-9233,-1853,18234,445,606,30
3011824645,-9822,-2110,17293,548,512,-19
3011844635,-7824,-2442,16059,495,631,53
3011864624,-7746,-2663,14110,313,340,201
3011884613,-7777,-2650,12086,107,102,259
3011904602,-6172,-2186,10586,-42,237,326
3011924591,-7140,-2813,12836,-70,343,352
3011944580,-7952,-2884,14294,-64,570,296
3011964569,-7411,-2809,14407,-54,922,206
3011984558,-7151,-3238,14130,-39,1214,96
3012004547,-7276,-3222,13569,-31,1462,-7
3012024536,-8474,-3004,12911,0,1688,-112
3012044525,-9049,-2590,12815,54,1905,-255
3012064514,-9485,-2920,12954,116,1969,-395
3012084503,-10013,-3003,12046,191,1943,-481
3012104492,-11883,-2626,11576,284,1918,-508
3012124481,-13334,-2854,11736,362,2117,-529
3012144470,-12550,-2724,11203,423,2189,-576
3012164459,-12612,-2733,10206,519,1933,-618
3012184448,-13267,-2675,8901,580,1775,-591
3012204437,-14292,-2588,8199,603,1793,-527
3012224426,-15222,-1834,7631,607,1850,-519
3012244415,-15299,-1125,7129,657,1782,-600
3012264404,-15303,-1148,6723,726,1656,-679
3012284393,-15993,-1912,6188,750,1597,-700
3012304382,-16089,-1977,5303,707,1576,-683
3012324371,-16197,-1380,4531,628,1476,-664
3012344360,-16304,-1167,4279,527,1310,-650
3012364349,-16432,-845,3404,414,1064,-616
3012384338,-17396,-526,2427,305,778,-543
3012404327,-18699,-87,1484,182,546,-453
3012424316,-19968,721,-665,14,396,-386
3012444305,-20346,711,-812,-237,187,-380
3012464294,-20412,-1614,5075,-547,-218,-397
3012484283,-22886,-4722,13694,-940,-594,-164
3012504272,-24504,-3639,15768,-1403,-556,489
3012524261,-25833,1815,9713,-1628,-254,1393
3012544250,-25075,5092,4677,-1258,354,2197
3012564239,-20857,6423,-986,-544,509,2812
3012584228,-23253,6589,-4368,42,580,2911
3012604217,-15690,9151,7314,759,1308,2037
3012624206,-4630,9308,13291,1401,1407,929
3012644195,1658,1126,7795,1759,965,-300
3012664184,4091,-9528,11344,1462,-576,-1493
3012684173,-10686,-18303,6574,138,-2127,-1671
3012704162,-25584,-16502,-3545,-1517,-2218,-705
3012724151,-21182,-6710,-3518,-2655,-2144,688
3012744140,-26032,-3534,-3509,-2164,-2276,1969
3012764129,-24013,1275,-132,-845,-196,2250
3012784118,-9863,7520,8714,575,1460,1123
3012804107,-6817,4193,16068,1924,1877,-229
3012824096,-3040,-5427,19622,2217,2120,-1304
3012844085,-8990,-13626,5270,1345,2758,-937
3012864074,-11570,-11439,-6798,-41,3730,-181
3012884063,-10116,-6251,-10352,-1138,3536,-120
3012904052,-13367,-3780,-6288,-1475,2503,105
3012924041,-19522,-913,367,-848,1581,474
3012944030,-20831,734,-98,73,1276,532
3012964019,-18047,228,-2057,819,1574,263
3012984008,-14428,-817,1596,1267,1479,-256
