Timestamp(us), yaw, pitch, roll
3292230529,17.886287190945097,72.717021314729664,-110.71930595256104
3292250518,16.766856694230174,72.324523609666215,-112.04704162678566
3292270507,15.721612708094721,71.910098841823881,-113.29195672654426
3292290496,14.504030086536902,71.502695550466697,-114.48835592310708
3292310485,13.147259802008042,71.044554011305337,-115.7454179852281
3292330474,11.674522154879389,70.499040905992246,-117.16246756236784
3292350463,10.663163775718164,69.912067528812784,-118.12494643424917
3292370452,9.5397230933249215,69.245967605888652,-119.18053544617932
3292390441,8.1751768989303546,68.536858505377594,-120.32280628606506
3292410430,6.9164417217905179,67.758900682819103,-121.3387298675799
3292430419,5.7047248119965817,66.9537930088091,-122.40767367733251
3292450408,4.3818551315402523,66.154778919959227,-123.64286351296799
3292470397,2.9214420650763424,65.297864744737666,-125.04618568436507
3292490386,1.4794673049515596,64.362926295454571,-126.47196512958583
3292510375,0.02491198725586475,63.370188326818386,-127.92414825816101
3292530364,-1.5799281222035191,62.22472213279606,-129.66625340026542
3292550354,-3.1291060345920849,61.02658084176602,-131.51386554409896
3292570343,-4.4189487030531405,59.815564918601183,-133.09826585438623
3292590332,-5.6380209070984497,58.48555385184175,-134.61318341749404
3292610321,-6.7871980677623478,57.070083503298349,-136.096934793347
3292630310,-7.8566403828354323,55.569782075786264,-137.55763156257694
3292650299,-8.8477257365173347,54.019715439280148,-138.96293565018033
3292670288,-9.7971536140391766,52.42165680012625,-140.29493235074116
3292690277,-10.673178776167207,50.81701526048159,-141.58399530040114
3292710266,-11.519985647021688,49.1817031127799,-142.79371683991403
3292730255,-12.350478110080589,47.537514562417961,-143.94442263541686
3292750244,-13.113683646755709,45.895097295916848,-145.04923032303256
3292770233,-13.796463326111303,44.240593803725886,-146.07649121094772
3292790222,-14.413896104526669,42.58776966812885,-147.02811880501528
3292810211,-14.983514455575351,41.130247872356918,-147.7900331727771
3292830200,-15.608433689954778,39.70416282155449,-148.53362070217008
3292850189,-16.132376132403948,38.214100589396253,-149.21022940211708
3292870178,-16.504480949091601,36.727830291507026,-149.77727760998488
3292890167,-16.851266059467012,35.2786755825989,-150.26181933949439
3292910156,-17.255126070061952,33.829344273725297,-150.67398644442275
3292930145,-17.70388175336652,32.376998208412651,-151.11479130830719
3292950134,-18.081067786346576,30.815574952420086,-151.51145513760858
3292970123,-18.423814230910263,29.237994790449651,-151.85245223772088
3292990112,-18.77582986886036,27.653504707807123,-152.15627262411249
3293010101,-19.11747844913176,26.063409022698874,-152.47263091843615
3293030090,-19.394577689430172,24.501057414213008,-152.83381663728585
3293050079,-19.631050818950222,22.916853008098407,-153.1737765604141
3293070068,-19.837094195151888,21.337664849064613,-153.50529322454699
3293090057,-20.004998495824104,19.779742629887117,-153.96286222564154
3293110046,-20.172416360958174,18.273999482844403,-154.39688181117802
3293130035,-20.365945094783655,16.603905714362746,-154.7707146204701
3293150024,-20.543906806696715,14.916511287464141,-155.17056996289085
3293170013,-20.663980234294115,13.226596736465865,-155.58176808496765
3293190002,-20.751370982019747,11.544000386173035,-155.96988189410811
3293209991,-20.843659306452697,9.9051364091580325,-156.32274312084849
3293229980,-20.953700252830355,8.3960390268136909,-156.56702285590194
3293249969,-21.056088169952709,6.9375316535102209,-156.71715432095726
3293269958,-21.126303962780764,5.5017395001487666,-156.73679774601095
3293289947,-21.194687656302634,4.0704312543045189,-156.69364987125479
3293309936,-21.25123934007518,2.658953806560155,-156.53176114649332
3293329925,-21.303391427564435,1.2206848968343516,-156.32762503530358
3293349914,-21.380895584437123,-0.20782975702161974,-156.12928783827948
3293369903,-21.482371746465493,-1.6386712599953086,-155.90281460607937
3293389892,-21.587189766755287,-3.0761546733892344,-155.62452228754282
3293409881,-21.688907908477926,-4.4867796127819464,-155.39951798541165
3293429870,-21.751624615452922,-5.8427955836309886,-155.318044825518
3293449859,-21.78284905172433,-7.1632261564584692,-155.39943336673051
3293469848,-21.827498549359127,-8.4994087596100787,-155.40939101535113
3293489837,-21.917034479533996,-9.814794090456477,-155.44713154607064
3293509826,-21.998642617271074,-11.148574127402961,-155.63474912054167
3293529815,-22.050967251963939,-12.49914598275971,-155.93852647398543
3293549804,-22.105510827178097,-13.866622326044538,-156.16091241092198
3293569793,-22.187738494031034,-15.220098145912829,-156.2752791145713
3293589782,-22.302313095872613,-16.565967399070335,-156.38440066448274
3293609771,-22.441792987235594,-17.925953900375397,-156.47692657793095
3293629760,-22.608355219287635,-19.265309310025462,-156.40446557917241
3293649749,-22.830362470482232,-20.515426527567797,-156.04223742207031
3293669738,-22.990778718480659,-21.749929624514646,-155.86020224695528
3293689727,-23.085497748305308,-22.923650847538934,-155.78823662898256
3293709716,-23.212769556804357,-23.967735091374855,-155.4313379213738
3293729705,-23.44481093794295,-25.082230201010201,-154.96406809770193
3293749694,-23.695570240334302,-26.344814278026941,-154.69804314809446
3293769683,-23.871757772346186,-27.548162643838346,-154.44528070715151
3293789672,-24.103570214935676,-28.614685560377715,-153.80799249116166
3293809661,-24.342834929424484,-29.651897469723831,-153.17864156322003
3293829650,-24.528489135921646,-30.799990136769683,-152.78210219799453
3293849639,-24.515172275438061,-31.897612814068808,-152.6397551462282
3293869628,-24.424777809724336,-32.94475840394194,-152.45674183052913
3293889617,-24.477539541531755,-33.992165091738777,-152.07407915721552
3293909606,-24.655047973224537,-35.14520590304133,-151.80871251431708
3293929595,-24.663329204215859,-36.275250754882165,-151.8126999653563
3293949584,-24.627363998976509,-37.436078622957368,-151.77245097483416
3293969573,-24.756496230066919,-38.603551621549698,-151.6749301345782
3293989562,-24.944639333516584,-39.885592284079465,-151.62883881742476
3294009552,-25.008637590288298,-40.970614386437376,-151.56885072000034
3294029541,-25.108466044280895,-41.871582024441608,-151.45134729184591
3294049530,-25.382482994202814,-42.934743503944752,-151.35346766834266
3294069519,-25.55089372824829,-43.874934688052477,-151.37170121195268
3294089508,-25.758423386691394,-44.814764981037456,-151.05393242754175
3294109497,-26.115468318144764,-45.712017160127068,-150.4343439728145
3294129486,-26.479300353751633,-46.477535311659047,-149.82891862893945
3294149475,-26.611974469405272,-47.235715356007901,-149.37316206745905
3294169464,-26.685952871669315,-47.820106038903731,-148.84752923391525
3294189453,-26.806869871148699,-48.41509382036832,-148.27950799641511
3294209442,-27.076885515767298,-49.154108702388172,-147.39430732990451
3294229431,-27.076923237718983,-49.630753896177019,-146.7314707689076
3294249420,-26.952255364002461,-50.085409768090898,-146.3004322252865
3294269409,-27.033023385481105,-50.566287059124285,-145.6444289165126
3294289398,-26.994452575820912,-51.012586282749012,-144.96891860570105
3294309387,-26.790320812323209,-51.421538144670642,-144.43843460993909
3294329376,-26.658852485317396,-51.83810049413016,-144.08420066579092
3294349365,-26.612212448028963,-52.324390475113425,-143.69271475487642
3294369354,-26.657448754647945,-52.727458261201257,-143.01640810674465
3294389343,-26.58914273396385,-53.068424967537524,-142.5626266099859
3294409332,-26.474264656839736,-53.422378730445494,-142.50533157909345
3294429321,-26.566469328694506,-53.804431654625887,-142.33594595833017
3294449310,-26.680285858894319,-54.315897003030607,-142.0448173071911
3294469299,-26.721714374172137,-54.630482620648195,-141.88814177486876
3294489288,-26.814072852243886,-54.84536810797006,-141.99561451341677
3294509277,-26.901405036546812,-55.134481311327541,-142.28242004504898
3294529266,-26.92573796860848,-55.548382819440967,-142.60111759255813
3294549255,-26.930670297240376,-55.827904212805244,-142.86181904632767
3294569244,-27.007803380100178,-55.766240502692952,-143.06394105671382
3294589233,-27.163867983305742,-55.542729632752383,-143.28429731651187
3294609222,-27.465418399497416,-55.406875296528199,-143.40608239593629
3294629211,-27.814876397994603,-55.208846423224948,-143.36939780005923
3294649200,-28.126808316912015,-54.625575937888414,-143.27258886748143
3294669189,-28.260316909044306,-53.679334825045487,-143.40631174685339
3294689178,-28.360979900179014,-52.553874448017517,-143.54288112552408
3294709167,-28.456635202037436,-51.307732250502376,-143.55898068855086
3294729156,-28.588744759127142,-50.048583064531812,-143.45896022418563
3294749145,-28.543168062119502,-48.553159177507908,-143.57447675547186
3294769134,-28.425370249606914,-46.964678270931593,-143.70880400326755
3294789123,-28.360959870838922,-45.323114156679068,-143.65249241147498
3294809112,-28.359106509283649,-43.593991913026201,-143.49001237511155
3294829101,-28.313224508217544,-41.754119182890776,-143.43452229828776
3294849090,-28.123354420368418,-39.842072148928104,-143.51173611014448
3294869079,-27.87429971506155,-37.891773983401627,-143.46003093232315
3294889068,-27.655229143160689,-35.7667897858719,-143.21590202914084
3294909057,-27.440338207306183,-33.554969914739132,-143.04148302152106
3294929046,-27.190633022427839,-31.423822364158895,-143.03656752419329
3294949035,-26.937501377041009,-29.310249390953718,-142.94648352411275
3294969024,-26.682148162589989,-27.165026636671225,-142.62101227642003
3294989013,-26.387299722468867,-24.785579312046039,-142.27372873613081
3295009002,-26.003263788915724,-22.306853430381071,-142.22537223176889
3295028991,-25.606181500693992,-19.750511516569549,-142.15990770090093
3295048980,-25.276163898250214,-17.202115875945282,-141.83308959288004
3295068969,-24.968183519285166,-14.705105182507472,-141.50504798140352
3295088958,-24.608598326600493,-12.24205110775933,-141.3884233181885
3295108947,-24.195468367795673,-9.7374065294364414,-141.27804215103521
3295128936,-23.754713856271383,-7.2502023533983051,-140.96024362529451
3295148925,-23.281104889838641,-4.7565194911983752,-140.7143333778518
3295168914,-22.778677752806956,-2.2597591841861533,-140.78619098498248
3295188903,-22.30775028511194,0.38912588702595985,-140.80173913183174
3295208892,-21.864584749958063,3.0564650447758988,-140.47091760982471
3295228881,-21.335342673422705,5.7417458761211462,-140.2481209518873
3295248870,-20.728068532720688,8.4558142237621876,-140.20012625118451
3295268859,-20.148204590145191,11.161861969585678,-140.11399918104127
3295288848,-19.616879031714802,13.776821572438383,-139.95218610888602
3295308837,-19.034670953981774,16.542752378599452,-140.05704085657251
3295328826,-18.375297388364327,19.357192586808186,-140.38197074015125
3295348815,-17.742626513865616,22.174090802326194,-140.65534200921323
3295368804,-17.181467960774469,24.918623493841967,-140.58970756387077
3295388793,-16.652127905639357,27.504895491770455,-140.61282096552441
3295408782,-15.944370707391975,30.120289518318465,-140.71258694842643
3295428771,-15.160824456611962,32.801075854378702,-140.66050362218471
3295448760,-14.374552232934493,35.311325123197008,-140.34030713204763
3295468750,-13.519373430721314,37.844517521030284,-139.92924974601809
3295488739,-12.485299270656883,40.392936814106001,-139.44794208257164
3295508728,-11.318600646085816,42.970250181650229,-138.74178460161846
